keyword,times_mentioned,total_transcripts,probability
China,8,8,1.0
Mac,8,8,1.0
iPad,8,8,1.0
Wearable,8,8,1.0
Vision,8,8,1.0
Service,8,8,1.0
iPhone,8,8,1.0
M3,5,8,0.625
Intelligence,5,8,0.625
Manufacturing,4,8,0.5
Creator,4,8,0.5
Siri,4,8,0.5
WWDC,4,8,0.5
Regulation / regulator / regulatory,3,8,0.375
Tariff,3,8,0.375
iCloud,3,8,0.375
Severance,3,8,0.375
Sleep apnea,2,8,0.25
Hedge,2,8,0.25
Formula 1 / F1,2,8,0.25
Modem,1,8,0.125
Streaming,0,8,0.0
