trade_id,ticker,keyword,date_str,earnings_date,direction,position_size,entry_price,model_prob,model_position,market_price,edge,actual_outcome,pnl,pnl_percent
43,AAPL,Intelligence,25JUL31,2025-07-31,no,39.772263169288635,0.98,0.6815893650054932,0.39772263169288635,0.99,-0.3084106349945068,1,-39.772263169288635,-1.0
44,AAPL,Hedge,25JUL31,2025-07-31,yes,33.54203999042511,0.18000000000000002,0.4406723082065582,0.3354203999042511,0.17,0.2706723082065582,0,-33.54203999042511,-1.0
45,AAPL,Streaming,25OCT30,2025-10-30,yes,14.264006912708282,0.02,0.799055278301239,0.14264006912708282,0.01,0.789055278301239,0,-14.264006912708282,-1.0
46,AAPL,Widget,25OCT30,2025-10-30,yes,40.436574816703796,0.02,0.39103963971138,0.40436574816703796,0.01,0.38103963971138,0,-40.436574816703796,-1.0
47,AAPL,Wearable,25OCT30,2025-10-30,no,45.319390296936035,0.98,0.587222695350647,0.45319390296936035,0.99,-0.402777304649353,1,-45.31939029693604,-1.0000000000000002
48,AAPL,The Studio,25OCT30,2025-10-30,no,44.77898180484772,0.98,0.5551645159721375,0.4477898180484772,0.99,-0.43483548402786254,1,-44.77898180484772,-1.0
49,AAPL,Siri,25OCT30,2025-10-30,no,41.32474660873413,0.98,0.6680980324745178,0.4132474660873413,0.99,-0.32190196752548217,1,-41.32474660873413,-1.0
50,AAPL,M3,25OCT30,2025-10-30,yes,41.7977511882782,0.02,0.3658760190010071,0.417977511882782,0.01,0.35587601900100707,0,-41.7977511882782,-1.0
51,AAPL,Manufacturing,25OCT30,2025-10-30,no,47.09165692329407,0.98,0.560687243938446,0.4709165692329407,0.99,-0.42931275606155395,1,-47.09165692329406,-0.9999999999999999
52,AAPL,Formula 1 / F1,25OCT30,2025-10-30,no,51.042842864990234,0.98,0.5977128148078918,0.5104284286499023,0.99,-0.39228718519210815,1,-51.042842864990234,-1.0
53,AAPL,China,25OCT30,2025-10-30,no,32.524728775024414,0.98,0.679257869720459,0.32524728775024414,0.99,-0.310742130279541,1,-32.524728775024414,-1.0
54,AAPL,Apple Intelligence,25OCT30,2025-10-30,no,43.229421973228455,0.98,0.6243840456008911,0.43229421973228455,0.99,-0.3656159543991089,1,-43.229421973228455,-1.0
55,AAPL,Apple Pay,25OCT30,2025-10-30,no,32.116907835006714,0.98,0.6939085125923157,0.32116907835006714,0.99,-0.2960914874076843,1,-32.116907835006714,-1.0
56,AAPL,Modem,25OCT30,2025-10-30,yes,46.48115336894989,0.02,0.41134965419769287,0.4648115336894989,0.01,0.40134965419769286,0,-46.48115336894989,-1.0
57,AAPL,Shutdown / Shut Down,25OCT30,2025-10-30,yes,23.338717222213745,0.02,0.6325492858886719,0.23338717222213745,0.01,0.6225492858886719,0,-23.338717222213745,-1.0
